prefecture_id,prefecture_nom,region_nom,region_id
1,Agoe-Nyive,Maritime,2
2,Agou,Plateaux,3
3,Akebou,Plateaux,3
4,Amou,Plateaux,3
5,Anie,Plateaux,3
6,Assoli,Kara,5
7,Ave,Maritime,2
8,Bas-Mono,Maritime,2
9,Bassar,Kara,5
10,Binah,Kara,5
11,Blitta,Centrale,1
12,Cinkasse,Savanes,4
13,Dankpen,Kara,5
14,Danyi,Plateaux,3
15,Doufelgou,Kara,5
16,Est-Mono,Plateaux,3
17,Golfe,Maritime,2
18,Haho,Plateaux,3
19,Keran,Kara,5
20,Kloto,Plateaux,3
21,Kozah,Kara,5
22,Kpele,Plateaux,3
23,Kpendjal,Savanes,4
24,Lacs,Maritime,2
25,Lome Commune,Maritime,2
26,Moyen-Mono,Plateaux,3
27,Kpendjal-Ouest,Savanes,4
28,Ogou,Plateaux,3
29,Oti,Savanes,4
30,Oti-Sud,Savanes,4
31,Plaine du Mo,Centrale,1
32,Sotouboua,Centrale,1
33,Tandjoare,Savanes,4
34,Tchamba,Centrale,1
35,Tchaoudjo,Centrale,1
36,Tone,Savanes,4
37,Vo,Maritime,2
38,Wawa,Plateaux,3
39,Yoto,Maritime,2
40,Zio,Maritime,2
