"agence_id","nom_agence","commune_agence","adresse_agence","telephone_agence"
1,"Rawbank Gombe","Gombe","Avenue du Commerce 12, Kinshasa","0812345678"
2,"Rawbank Limete","Limete","Boulevard Lumumba 45, Kinshasa","0812345679"
3,"Rawbank Kalamu","Kalamu","Rue de l’Industrie 7, Kinshasa","0812345680"
4,"Rawbank Kintambo","Kintambo","Avenue Kabinda 21, Kinshasa","0812345681"
5,"Rawbank Matete","Matete","Rue de la Paix 10, Kinshasa","0812345682"
6,"Rawbank Ngaliema","Ngaliema","Avenue de l’Église 33, Kinshasa","0812345683"
7,"Rawbank Bandalungwa","Bandalungwa","Boulevard des Artisans 8, Kinshasa","0812345684"
8,"Rawbank Kinshasa Centre","Gombe","Avenue du Marché 5, Kinshasa","0812345685"
9,"Rawbank Limete 2","Limete","Rue du Centre 17, Kinshasa","0812345686"
10,"Rawbank Ndjili","Ndjili","Avenue de la Gare 50, Kinshasa","0812345687"
